Iteration	Utility	Time (ms)	InstanceID	PD_DCOP_Algorithm	DCOP_Algorithm	Dynamic	Agents	Switching cost	Discount	Horizon
-1	499.51	260	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
0	499.51	320	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
1	499.51	370	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
2	499.51	410	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
3	499.51	420	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
4	499.51	430	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
5	499.51	440	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
6	499.51	450	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
7	499.51	460	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
8	499.51	470	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
9	499.51	480	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
10	499.51	480	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
11	499.51	480	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
12	499.51	490	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
13	499.51	500	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
14	499.51	510	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
15	499.51	520	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
16	499.51	530	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
17	499.51	530	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
18	499.51	540	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
19	499.51	550	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
20	499.51	560	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
21	499.51	570	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
22	499.51	580	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
23	499.51	590	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
24	499.51	600	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
25	499.51	600	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
26	499.51	610	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
27	499.51	620	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
28	499.51	620	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
29	499.51	640	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
30	499.51	640	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
31	499.51	650	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
32	499.51	660	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
33	499.51	670	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
34	499.51	670	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
35	499.51	680	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
36	499.51	690	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
37	499.51	690	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
38	499.51	700	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
39	499.51	700	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
40	499.51	710	21	FINITE_HORIZON	LS_SDPOP	MGM	5	50.0	0.9	5
